Broker,Rater,Industry
Machinery & Equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
MACHINERY DEALE,Motor Vehicle Supplies and New Parts Merchant Wholesalers,Storage and Wholesale Trade
MACHINERY SHED,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
MACHINERY STRG,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
MADELINE PARK PAVILION,Governmental Office & Administration,Govermental/Municipal
"Main Administration, Seed Freezer and Warehouse",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Main Classroom Building,Schools,Education
MAIN CONCESSION BUILDING,Governmental Office & Administration,Govermental/Municipal
Main Downtown Library Temporary Location,Library,Govermental/Municipal
MAIN HOUSE,Single Family Dwellings,Habitational
Main Library Storage,Library,Govermental/Municipal
Main Office,Offices,Offices
Main Office - Building,Offices,Offices
Main Office - Community Center,Offices,Offices
Main Office - Dumpster Enclosure,Offices,Offices
Main Office - Monument Sign,Offices,Offices
Main Office - Pump Building,Offices,Offices
Main Office Building,Offices,Offices
Main Office for Rooster Rock State Park and District,Governmental Office & Administration,Govermental/Municipal
Main office Nortghern Europe,Offices,Offices
Main office Northern Europe,Offices,Offices
"Main Office, Meeting room, and Housing - Occupied only during Fire Season, Unoccupied rest of year.",Offices,Offices
"Main Office, Offices and Meeting Rooms",Offices,Offices
"Main Office, Residence/Sleeping Quarters, Storage, and Garage",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Main Office, Sleeping Areas, and Meeting Rooms",Offices,Offices
Main Office/CMF,Offices,Offices
MAIN RESIDENCE,Mid Rise Apartments - 5-9 stories,Habitational
main storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
MAIN STREET PARKING GARAGE,Parking Garages,Light Industry
Main Street Pavilion,Governmental Office & Administration,Govermental/Municipal
Main Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Main Warehouse, Equipment Storage, and Radio Repair",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Main/Guest House,Single Family Dwellings,Habitational
Maint Facility,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maint storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maint Work,Machinery Manufacturing,Light Industry
Maint. Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maint. Shops,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maint. Shops/Offices,Offices,Offices
MAINT/ENG/HSKPG/AUTO,Auto Dealers,Retail
Maint/Landscaping Shop (New 2005),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenace Bldg,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance,Machinery Manufacturing,Light Industry
Maintenance - Restroom Building,Machinery Manufacturing,Light Industry
Maintenance - Units 29-30,Machinery Manufacturing,Light Industry
Maintenance and Operations - Work Shops,Machinery Manufacturing,Light Industry
Maintenance and Restroom Building,Machinery Manufacturing,Light Industry
Maintenance and Warehouse Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Barn,Livestock Farming,Agriculture/Farming
Maintenance Barn - Storage,Livestock Farming,Agriculture/Farming
Maintenance Bldg,Machinery Manufacturing,Light Industry
Maintenance Bldg.,Machinery Manufacturing,Light Industry
Maintenance Bldg. & Equip. Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Maintenance Bldg. (2,500 sq ft of office and 3 garage bays)",Offices,Offices
Maintenance Building,Machinery Manufacturing,Light Industry
Maintenance Building - Material Handling,Machinery Manufacturing,Light Industry
Maintenance Building (CMC),Machinery Manufacturing,Light Industry
Maintenance Building (est.),Machinery Manufacturing,Light Industry
Maintenance Building 1,Machinery Manufacturing,Light Industry
Maintenance Building 2,Machinery Manufacturing,Light Industry
Maintenance Building 2 with offices,Offices,Offices
Maintenance Building 3,Machinery Manufacturing,Light Industry
Maintenance Facility,Machinery Manufacturing,Light Industry
Maintenance Facility  (CMC),Machinery Manufacturing,Light Industry
MAINTENANCE GARAGE,Machinery Manufacturing,Light Industry
Maintenance Office,Offices,Offices
Maintenance Office & Detatched Garage,Offices,Offices
Maintenance Offices & Shops,Offices,Offices
Maintenance Operations,Machinery Manufacturing,Light Industry
Maintenance Service Garage,Machinery Manufacturing,Light Industry
Maintenance Shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Shed - Cofer Park,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Shed - Henderson Park,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Sheds (3),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Shop,Machinery Manufacturing,Light Industry
Maintenance Shop  (2300 S. Hobson),Machinery Manufacturing,Light Industry
Maintenance Shop - Former Gymnasium,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
MAINTENANCE SHOP #2,Machinery Manufacturing,Light Industry
Maintenance Shop & Office,Offices,Offices
Maintenance Shop & Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Shop / Equipment Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Shop 2 Story,Machinery Manufacturing,Light Industry
Maintenance Shop and crew room,Machinery Manufacturing,Light Industry
Maintenance Shop and Office,Offices,Offices
Maintenance shop and storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Shop Area,Machinery Manufacturing,Light Industry
Maintenance shop equipment,Machinery Manufacturing,Light Industry
"Maintenance Shop- misc tools, equipments, and supplies",Machinery Manufacturing,Light Industry
maintenance shop store ATV Program's ATVs and trailers,Mobile Home/Chalet Manufacturing,Light Industry
Maintenance Shop- Water treatment building,Water & Sewage Treatment Facilities,Utilities
Maintenance Shops,Machinery Manufacturing,Light Industry
"Maintenance Sta Bldg, Primary",Machinery Manufacturing,Light Industry
Maintenance Sta Building,Machinery Manufacturing,Light Industry
Maintenance Station Bldg,Machinery Manufacturing,Light Industry
Maintenance Station Bldg Primary,Machinery Manufacturing,Light Industry
"Maintenance Station Bldg, Primary",Machinery Manufacturing,Light Industry
Maintenance Station Building,Machinery Manufacturing,Light Industry
Maintenance Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintenance/Staff Housing,Machinery Manufacturing,Light Industry
MAINTENANCE/SUPPLY BUILDING,Machinery Manufacturing,Light Industry
Maintenance/Warehouse Shop,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Maintence Shop,Machinery Manufacturing,Light Industry
Maintence Shop- receiving shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Male Academy Museum,Museums,Hotels/Casino/Entertainment
MALL,Shopping Mall (Enclosed),Retail
Malls,Shopping Mall (Enclosed),Retail
Malls (Strip),Shopping Mall (Enclosed),Retail
Managed Care,Residential Care,Health Services
Management Office,Offices,Offices
Manager,Offices,Offices
Manager Dwelling,Single Family Dwellings,Habitational
Manager Residence,Mid Rise Apartments - 5-9 stories,Habitational
"Manager's office, training room, park office and storage",Governmental Office & Administration,Govermental/Municipal
Manager's Quarters,Mid Rise Apartments - 5-9 stories,Habitational
Manager's residence,Mid Rise Apartments - 5-9 stories,Habitational
Manatee County Convention Center,Full-Service Hotel,Hotels/Casino/Entertainment
Manatee County Fairgrounds,Amusement and Theme Parks,Hotels/Casino/Entertainment
Manatee County Golf Course,Golf Courses and Country Clubs,Hotels/Casino/Entertainment
Manatee County Jail,Correctional Institutions and Prisons,Govermental/Municipal
Manatee County Schools,Schools,Education
Manatee County Youth Academy,Schools,Education
MANLEY PARK MAINTENANCE BUILDING,Governmental Office & Administration,Govermental/Municipal
Manor Dorm (aka. The Cove),Mid Rise Student Housing - 5-9 stories,Habitational
Manufactured Housing,Single Family Dwellings,Habitational
MANUFACTURER,Machinery Manufacturing,Light Industry
Manufacturers - hazardous,Machinery Manufacturing,Light Industry
Manufacturers - Non Hazardous,Machinery Manufacturing,Light Industry
Manufacturers- non hazardous,Machinery Manufacturing,Light Industry
Manufacturers Representatives,Machinery Manufacturing,Light Industry
Manufacturing,Machinery Manufacturing,Light Industry
Manufacturing                            305820,Machinery Manufacturing,Light Industry
Manufacturing - Boats,Machinery Manufacturing,Light Industry
Manufacturing - Fiberglass,Plastics Material and Resin Manufacturing,Heavy Industry
Manufacturing - Non-Combustible,Machinery Manufacturing,Light Industry
Manufacturing (hazardous),Machinery Manufacturing,Light Industry
Manufacturing (NCI Hernando) (NEW ABC Bldg),Machinery Manufacturing,Light Industry
Manufacturing (non-hazardous),Machinery Manufacturing,Light Industry
Manufacturing / Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Manufacturing Building 1,Machinery Manufacturing,Light Industry
Manufacturing Building 2,Machinery Manufacturing,Light Industry
Manufacturing Chemical,Machinery Manufacturing,Light Industry
Manufacturing Mineral related,Machinery Manufacturing,Light Industry
Manufacturing -Mixed,Machinery Manufacturing,Light Industry
MANUFACTURING NOC,Machinery Manufacturing,Light Industry
Manufacturing Pharmaceutical,Machinery Manufacturing,Light Industry
Manufacturing Plant,Machinery Manufacturing,Light Industry
Manufacturing Plastic,Plastics Product Manufacturing,Heavy Industry
Manufacturing -Plastics,Plastics Product Manufacturing,Heavy Industry
Manufacturing Plastics Related,Plastics Product Manufacturing,Heavy Industry
Manufacturing Wood Products,Wood Products Manufacturing,Heavy Industry
Manufacturing Woodwork,Wood Products Manufacturing,Heavy Industry
"Manufacturing, Warehousing",Machinery Manufacturing,Light Industry
Manufacturing/Office,Offices,Offices
manure bin,Support Activities For Animal Production,Agriculture/Farming
Manzanita Dorm,Mid Rise Student Housing - 5-9 stories,Habitational
MARBLE SHOP,Miscellaneous Retailers,Retail
MARC - Mechanic's Shop,Auto Repair Shop Garage,Retail
MARC - Vehicle Storage Shed,Auto Dealers,Retail
MARC - Vehicle Storage/Workshop,Machinery Manufacturing,Light Industry
MARC-Office,Offices,Offices
Marina,Marinas,Transportation
Marina Building and Slots,Marinas,Transportation
MARINA SHOWERS/LAUNDRY,Marinas,Transportation
Marina store run by concessionaire,Miscellaneous Retailers,Retail
Marinas,Marinas,Transportation
Marine Berth,Marinas,Transportation
Marine Dock,Piers and Wharves,Transportation
Marine Pier,Piers and Wharves,Transportation
Marine Supply Store,Miscellaneous Retailers,Retail
Marinship Park,Lodges and Clubs,Hotels/Casino/Entertainment
Maritime Building,Marinas,Transportation
MARITIME MUSEUM,Museums,Hotels/Casino/Entertainment
MARKET & RESTAR,Supermarkets and Grocery,Retail
Market Rate Apartments,Mid Rise Apartments - 5-9 stories,Habitational
MARKET STREET PAVILION,Governmental Office & Administration,Govermental/Municipal
Marketing Building,Offices,Offices
Marketing Department,Supermarkets and Grocery,Retail
Mars Theatre,Cinemas,Retail
MARSHALL BUREAU BUILDING,Governmental Office & Administration,Govermental/Municipal
Martin Theatre,Cinemas,Retail
Master Control Center @ Boiler Room,Offices,Offices
Material and equipment storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
material storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
MATERIAL STORAGE BINS,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Materials and equipment storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
MAUSOLEUM,"Church, Mosque or Synagogue",Religious/Churches
Mausoleum 3,"Church, Mosque or Synagogue",Religious/Churches
Mausoleum 4,"Church, Mosque or Synagogue",Religious/Churches
Mausoleum 5,"Church, Mosque or Synagogue",Religious/Churches
Mausoleums 1 and 2,"Church, Mosque or Synagogue",Religious/Churches
Mayor Office,Offices,Offices
Mayors Park Pavilion 1,Governmental Office & Administration,Govermental/Municipal
Mayors Park Pavilion 2,Governmental Office & Administration,Govermental/Municipal
MCARTHUR BALLROOM,Full-Service Hotel,Hotels/Casino/Entertainment
McCord Academy - Golf Studio,Golf Courses and Country Clubs,Hotels/Casino/Entertainment
MCDOWELL WAREHOUSE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Meat Packing,Slaughterhouse - Not Poultry,Food
"Meat, Fish, Poultry or Seafood Stores",Poultry Hatcheries,Agriculture/Farming
"Meat, Fish, Poultry, or Seafood Processing",Poultry Hatcheries,Agriculture/Farming
MECHANIC SHOP,Miscellaneous Retailers,Retail
Mechanical Building ,Auto Repair Shop Garage,Retail
"MED PLAZA 1
MSO Services, Peds Neurology, Sys Learning & Dev/Clinical Learning/ Lee Phys Serv., Heart Group, and sub-lease to CMS",Home Health Care Service,Health Services
Medallion Manufacturing Equiptment,Machinery Manufacturing,Light Industry
Media,Tv and Radio Stations,Communications
Media/Art,Tv and Radio Stations,Communications
Media/Art/Music,Tv and Radio Stations,Communications
Media/Car. Ed,Tv and Radio Stations,Communications
Media/Classrooms,Schools,Education
Media/Clrms,Tv and Radio Stations,Communications
Media/Radio Equipment,Tv and Radio Stations,Communications
Media/Voc. Tech.,Tv and Radio Stations,Communications
Media/Voc.Tech.,Tv and Radio Stations,Communications
Medical,Home Health Care Service,Health Services
Medical and health services,Home Health Care Service,Health Services
MEDICAL BUILDING,Home Health Care Service,Health Services
Medical Clinic,Home Health Care Service,Health Services
Medical Equip,Home Health Care Service,Health Services
Medical Forensic Facility,Medical Office,Health Services
Medical office,Medical Office,Health Services
Medical office (timeshare - 1 days/week),Medical Office,Health Services
Medical office (timeshare - 2 days/week),Medical Office,Health Services
Medical Office / ASC Procedure Suite,Medical Office,Health Services
MEDICAL OFFICE 60% / OFFICE BUILDING 40%,Medical Office,Health Services
Medical office and ASC,Medical Office,Health Services
Medical office and central lab,Medical Office,Health Services
Medical Office Building,Medical Office,Health Services
Medical Office Building I,Medical Office,Health Services
MEDICAL OFFICE- CC 0922 / OC 9,Medical Office,Health Services
MEDICAL OFFICE- VACANT,Mid Rise Apartments - 5-9 stories,Habitational
Medical offices,Medical Office,Health Services
Medical Offices- Lessors Risk,Offices,Offices
"Medical Officeuite ,med spa",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Medical Plaza IV,Home Health Care Service,Health Services
Medical services,Home Health Care Service,Health Services
Medical services clinic,Medical Office,Health Services
Medical/Business,Home Health Care Service,Health Services
Medical/Health Care Services,Home Health Care Service,Health Services
Medical/Retail,Home Health Care Service,Health Services
Medication Supplies,Home Health Care Service,Health Services
Medium Size & Hazard Manufacturing,Machinery Manufacturing,Light Industry
Meeetin/Office - Lease,Offices,Offices
meeeting loc/pastors home,Single Family Dwellings,Habitational
Meek Street Pump Station,Gas Petrol Stations,Retail
Meeting and Office Space,Offices,Offices
Meeting Center,Full-Service Hotel,Hotels/Casino/Entertainment
Meeting Facility,Full-Service Hotel,Hotels/Casino/Entertainment
MEETING HALL,Full-Service Hotel,Hotels/Casino/Entertainment
Meeting Location - Church Plant - Lease,"Church, Mosque or Synagogue",Religious/Churches
Meeting Location - Church Plant - Rent,"Church, Mosque or Synagogue",Religious/Churches
Meeting Location - Lease / School,Schools,Education
Meeting Location - Offices-Leased,Offices,Offices
Meeting Location - Pastor's Home,Single Family Dwellings,Habitational
Meeting Location - Pastor's Home - Rent,Single Family Dwellings,Habitational
Meeting Location / Office - Lease,Offices,Offices
Meeting Location/Office,Offices,Offices
Meeting Location/Office - Lease,Offices,Offices
Meeting Location/Office - Leased,Offices,Offices
Meeting Location/Office - Rent,Offices,Offices
Meeting location/Office/Classrooms Building 1,Schools,Education
Meeting Location/Office/Pastor's Home - Rent,Offices,Offices
Meeting Location/Offices - Lease,Offices,Offices
Meeting Location/Pastor's Hm. - Rent,Single Family Dwellings,Habitational
Meeting Location/Pastor's Home,Single Family Dwellings,Habitational
Meeting Location/Pastor's Home/Office - Rent,Offices,Offices
Meeting Location/Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Meeting Location-Office  Lease,Offices,Offices
Meeting Room/Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Meeting/Office,Offices,Offices
Meeting/Office - Lease,Offices,Offices
Meeting/Office Location,Offices,Offices
Meeting/Office/Lease,Offices,Offices
Meeting/Office/Pastor's Home,Offices,Offices
Meeting/Pastor's Home,Single Family Dwellings,Habitational
Meetings/Office/Pastor's Home,Offices,Offices
Member Laundry,Laundry,Retail
Member Laundry - Section 3,Laundry,Retail
Member Laundry - Section 6,Laundry,Retail
Membership & Recreation Club - 10,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Membership sports and recreation clubs,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Memorial Garden- Gazebo,Governmental Office & Administration,Govermental/Municipal
Memorial Garden- Santa's Garden Fountain,Governmental Office & Administration,Govermental/Municipal
MEMORIAL PARK SMALL PAVILIONS (5),Governmental Office & Administration,Govermental/Municipal
MEMORIAL PLAYGROUND/GAZEBO,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Men's Ministry,"Church, Mosque or Synagogue",Religious/Churches
Men's Shelter Offices,Offices,Offices
MERC,Miscellaneous Retailers,Retail
MERC & 2 APTS,Mid Rise Apartments - 5-9 stories,Habitational
MERC & 7 APTS,Mid Rise Apartments - 5-9 stories,Habitational
MERC & APTS,Mid Rise Apartments - 5-9 stories,Habitational
MERC/APT,Mid Rise Apartments - 5-9 stories,Habitational
MERC/RESTAURANT BILLBOARD,Restaurants - Not Fast Food,Retail
Mercantile,Miscellaneous Retailers,Retail
Mercantile - Lessors Risk Only,Miscellaneous Retailers,Retail
Mercantile - Multiple Occupancy with 0564 Occupant,Miscellaneous Retailers,Retail
Mercantile - Multiple Occupancy without 0564 Occupant,Miscellaneous Retailers,Retail
Mercantile - Sole Occupancy Only - Alcoholic Beverages other tha,Miscellaneous Retailers,Retail
"Mercantile - Sole Occupancy Only - Baking on Premises, No Delive",Bakeries - Retail,Retail
Mercantile - Sole Occupancy Only - Bars and Taverns,"Lounges, Night Clubs, Discos",Retail
Mercantile - Sole Occupancy Only - Boat and Marine Supply Dealer,Boat Dealers,Retail
Mercantile - Sole Occupancy Only - Drugs,Pharmacies and Drug Stores,Retail
"Mercantile - Sole Occupancy Only - Electrical Goods, Hardware an",Miscellaneous Retailers,Retail
"Mercantile - Sole Occupancy Only - Food Products, Retail Bakerie",Bakeries - Commercial,Food
Mercantile - Sole Occupancy Only - Furniture and Home Furnishing,Home Furnishing Stores,Retail
Mercantile - Sole Occupancy Only - Jewelry,Miscellaneous Retailers,Retail
Mercantile - Sole Occupancy Only - Not Otherwise Classified - Hi,Miscellaneous Retailers,Retail
Mercantile - Sole Occupancy Only - Not Otherwise Classified - Lo,Miscellaneous Retailers,Retail
Mercantile - Sole Occupancy Only - Not Otherwise Classified - Mo,Miscellaneous Retailers,Retail
Mercantile - Sole Occupancy Only - Sporting Goods,Miscellaneous Retailers,Retail
"Mercantile - Sole Occupancy Only - Tire, Battery and Accessory D",Auto Parts,Retail
"Mercantile - Sole Occupancy Only - Wearing Apparel, Textiles, Sh",Miscellaneous Retailers,Retail
Mercantile & Apartments,Mid Rise Apartments - 5-9 stories,Habitational
MERCANTILE & APTS,Mid Rise Apartments - 5-9 stories,Habitational
Mercantile/Office bldg w/ one residential apt,Offices,Offices
MERCANTILE-LRO ONLY,Miscellaneous Retailers,Retail
MERCANTILES,Miscellaneous Retailers,Retail
Merideth Gymnasium,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
METAL & GLASS CONTRACTOR,Metal Product Manufacturing,Light Industry
Metal and Minerals Processing,Metal Product Manufacturing,Light Industry
METAL CASTING,Metal Product Manufacturing,Light Industry
Metal Dealers or Distributors - nonstructural - Other metal products,Metal Product Manufacturing,Light Industry
METAL FABICATIO,Metal Product Manufacturing,Light Industry
Metal Fabrication,Metal Product Manufacturing,Light Industry
Metal Goods Manufacturing - Stamping,Metal Product Manufacturing,Light Industry
Metal Hangar-Gated Entry,Metal Product Manufacturing,Light Industry
Metal Office and Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Metal Processing,Metal Product Manufacturing,Light Industry
Metal Scrap Dealers,Metal Product Manufacturing,Light Industry
Metal Scrap Dealers – Iron or Steel,Miscellaneous Retailers,Retail
Metal Shop,Metal Product Manufacturing,Light Industry
Metal Worker - Non Molten,Metal Product Manufacturing,Light Industry
METAL WORKS SHOP,Metal Product Manufacturing,Light Industry
Metals and Minerals Processing,Metal Product Manufacturing,Light Industry
Metals and Minerals Processing - 16,Metal Product Manufacturing,Light Industry
Metals Recovery/Dry Precipitated Filder Cake with semi-precious metals operation,Metal Product Manufacturing,Light Industry
Metalworking/fabrication,Metal Product Manufacturing,Light Industry
Methadone Clinic,Medical Office,Health Services
Methodist Church,"Church, Mosque or Synagogue",Religious/Churches
Metro Med Plaza Asthma,Home Health Care Service,Health Services
Metro Outpatient Center,Outpatient Care Centers,Health Services
MFG,Machinery Manufacturing,Light Industry
MFG Componenet Window Parts,Machinery Manufacturing,Light Industry
MFG Doors & windows,Machinery Manufacturing,Light Industry
Mfg Window & Doors,Machinery Manufacturing,Light Industry
Mfg Windows & Distribution,Machinery Manufacturing,Light Industry
mfg/office,Offices,Offices
mfg/warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Micro Hospital,Hospital,Health Services
Mics Storage & Boiler,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Middle Dockside Office and Rest Room,Offices,Offices
Middle School,Schools,Education
Mill Yards,Sawmill,Heavy Industry
Mini  Golf,Golf Courses and Country Clubs,Hotels/Casino/Entertainment
Mini Market,Supermarkets and Grocery,Retail
Mini Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Mini Warehouses,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Mining,Metal Below,Mining
Mining - 21,Non-Metal Below,Mining
Mini-Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Ministorage Bldg,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Mini-storage facilities,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Ministry Center - Leased,"Church, Mosque or Synagogue",Religious/Churches
Ministry House,Single Family Dwellings,Habitational
MINI-WAREHOUSE- CC 1220 / OC 6,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Mini-Warehouse/Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Minnie Corbitt Museum,Museums,Hotels/Casino/Entertainment
Miracle Recreation - Playground Equip,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Misc Equipment-12k, Storage Container-2k",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Miscellaneous,Unknown,Unknown
Miscellaneous Products Storage - (Other Than Retail Or Wholesale,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Miscellaneous/Other - 39,Unknown,Unknown
MISSION SPORTS CENTER,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Missional - Church,"Church, Mosque or Synagogue",Religious/Churches
Missional - Church/Pole Barn,Livestock Farming,Agriculture/Farming
Missional - Office,Offices,Offices
Mitchell House Condominium,Single Family Dwellings,Habitational
Mixed Mercantile - LRO,Miscellaneous Retailers,Retail
Mixed Retail Center,Miscellaneous Retailers,Retail
MIXED USE ( 2 APARTMENTS & CHURCH),"Church, Mosque or Synagogue",Religious/Churches
MIXED USE ( 2APARTMENTS &CHURCH),"Church, Mosque or Synagogue",Religious/Churches
MIXED USE (2 APARTMENTS & CHURCH),"Church, Mosque or Synagogue",Religious/Churches
Mixed Use Building - Residential Apartments & Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Mixed use LRO & Apartment,Mid Rise Apartments - 5-9 stories,Habitational
MIXED USE LRO & APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
MIXED USE LRO &APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
MIXED USE LRO (APARTMENT & CHURCH),"Church, Mosque or Synagogue",Religious/Churches
MIXED USE LRO (APARTMENTS & RESTAURANT),Restaurants - Not Fast Food,Retail
MIXED USE LRO RESTAURANT AND APARTMENT,Restaurants - Not Fast Food,Retail
MIXED USE LRO(APARTMENT & CHURCH),"Church, Mosque or Synagogue",Religious/Churches
Mixed-Use LRO - Apartments & Merc,Mid Rise Apartments - 5-9 stories,Habitational
Mixed-Use LRO & Apartments,Mid Rise Apartments - 5-9 stories,Habitational
Mixed-Use LRO (Apartments & Store),Mid Rise Apartments - 5-9 stories,Habitational
MIXED-USE LRO (OFFICE & GARAGE),Offices,Offices
MIXED-USE ONE-FAMILY DWELLING & DAY CARE,Schools,Education
MLK and Roquamore Drive Water Treatment Plant - Well,Water & Sewage Treatment Facilities,Utilities
MLK Memorial Park,Governmental Office & Administration,Govermental/Municipal
MOB & Diagnostic,Home Health Care Service,Health Services
"MOB, Diagnostics, Occupational Med, P.T.",Home Health Care Service,Health Services
"MOB, ER and Diagnostic",Home Health Care Service,Health Services
Mobile Classroom1,Schools,Education
Mobile Classroom2,Schools,Education
Mobile Clinic,Home Health Care Service,Health Services
Mobile Home,Single Family Dwellings,Habitational
Mobile Home #125,Single Family Dwellings,Habitational
Mobile Home #126,Single Family Dwellings,Habitational
Mobile Home #127,Single Family Dwellings,Habitational
Mobile Home #197,Single Family Dwellings,Habitational
Mobile Home Dbl. 28x62 Hudspeth Co.,Single Family Dwellings,Habitational
Mobile Home Park,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Mobile Home Park - 1969 Safway #1066,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Mobile Home Park - Clubhouse,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Mobile Home Park - Dwelling,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Mobile Home Park - Owner Occupied Dwelling,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Mobile Home Park (5 mobile homes),Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Mobile Home/Office,Offices,Offices
Mobile Office,Offices,Offices
Mobile Office  (inside Bldg. 304),Offices,Offices
Mobile Office  (MH Lunch Room),Offices,Offices
Mobile Office  (MWO Shelter),Offices,Offices
Mobile Office (inside Bldg. 402),Offices,Offices
Mobile Office (Williams),Offices,Offices
MOBILE OFFICE FOR INSMATES (36 X 10),Offices,Offices
Mobile Office with wooden deck  (Williams),Offices,Offices
Mobile Offices (3),Offices,Offices
Mobile-Office,Offices,Offices
Modular - Office/Institue Classes,Offices,Offices
Modular Administration Bldg,Offices,Offices
Modular Bldgs (8-16 clsrms 1 admin),Offices,Offices
Modular Dbl Classroom Bldgs (2),Schools,Education
Modular Dbl Classroom Bldgs (5),Schools,Education
MODULAR HOUSE,Single Family Dwellings,Habitational
Modular Housing (ILA Breakroom),Single Family Dwellings,Habitational
Modular Housing (ILA Breakroom) (Berth 2),Single Family Dwellings,Habitational
Modular Housing (ILA Breakroom) (Berth 3),Single Family Dwellings,Habitational
Modular Office,Offices,Offices
Modular Office  -  SN89211975,Offices,Offices
Modular Office Building,Offices,Offices
Modular Office S/N 8920193 (USDA),Offices,Offices
Modular Office Unit,Offices,Offices
Modular Offices,Offices,Offices
Modular/Office,Offices,Offices
Monte Vista Crossing Shopping Center,Shopping Mall (Enclosed),Retail
MONUMENT,Governmental Office & Administration,Govermental/Municipal
Moore Cove Farm,Livestock Farming,Agriculture/Farming
Moore Road Farm,Livestock Farming,Agriculture/Farming
Morgan Elem/Classrooms,Schools,Education
Morgan Elem/GYM-HVAC,Schools,Education
Morgan Elementary - Gym,Schools,Education
Morgan Elementary - Marquee,Schools,Education
Morgan Elementary - Outdoor classrom,Schools,Education
